userID,songID,rating,songName,year,artist,genre
1121,663,1.494917871414299,Tighten Up,2010,The Black Keys,Electronic
1276,59,1.9898357428285989,They Might Follow You,2007,Tiny Vipers,Pop
114,54,1.9898357428285989,You're The One,1990,Dwight Yoakam,Country
1681,584,1.494917871414299,Bubble Toes,2000,Jack Johnson,Rock
2001,335,1.494917871414299,The Real Slim Shady,2000,Eminem,Pop
1260,124,1.0,Fast As I Can,2000,Erin McKeown,Folk
1327,246,1.494917871414299,In The Mausoleum,2007,Beirut,Folk
2109,171,1.0,Down To Earth,2009,Justin Bieber,Pop
801,144,1.0,One I Love,2002,Coldplay,Rock
314,596,1.0,Shiver,2000,Coldplay,Rock
1566,93,2.644081581713018,Clocks,2002,Coldplay,Rock
1530,161,1.0,Monster,2009,Lady GaGa,Pop
133,311,1.494917871414299,The Flying Club Cup,2007,Beirut,Folk
1614,778,1.494917871414299,Take What You Take,2006,Lily Allen,Pop
2364,635,1.494917871414299,Make Love To Your Mind,1975,Bill Withers,RnB
317,427,1.7844262671283984,I Kissed A Girl,2008,Katy Perry,Pop
1759,34,1.0,Nah!,2002,Shania Twain,Country
1781,590,1.0,Breakout,2008,Miley Cyrus,Pop
2101,150,1.0,Ruby_ Don't Take Your Love To Town,2007,The Killers,Rock
1319,227,1.0,All The Pretty Faces,2006,The Killers,Rock
1702,426,2.149163710298719,Float On,2003,Modest Mouse,Rock
1947,252,1.0,Lifespan Of A Fly,2009,the bird and the bee,Pop
553,436,1.0,Friday Night,2006,Lily Allen,Pop
348,319,1.0,Someone Is Waiting,1992,Neutral Milk Hotel,Rock
238,209,1.0,Goodnight And Goodbye,2007,Jonas Brothers,Pop
918,518,1.7844262671283984,Paradise City,1987,Guns N' Roses,Rock
339,201,1.0,New York_ I Love You But You're Bringing Me Down,2007,LCD Soundsystem,Electronic
179,604,1.0,Scared Of Lonely,2008,Beyonce,RnB
1032,588,1.0,Live It Out,2005,Metric,Rock
1545,365,1.7844262671283984,M79 (Album),2007,Vampire Weekend,Rock
