userID,songID,rating,songName,year,artist,genre
2025,425,1.7844262671283984,Year 3000,2006,Jonas Brothers,Pop
2318,400,1.0,The Concubine,2009,Beirut,Folk
2009,792,2.568852534256797,Favorite Girl,2009,Justin Bieber,Pop
1280,584,1.0,Bubble Toes,2000,Jack Johnson,Rock
146,534,1.0,All These Things That I've Done,2004,The Killers,Rock
1954,5,1.0,Full Circle,2008,Miley Cyrus,Pop
827,628,1.494917871414299,Home,2009,Edward Sharpe & The Magnetic Zeros,Rock
999,559,1.0,Tape Song,2008,The Kills,Rock
1951,689,2.389410122329216,Party In The U.S.A.,2009,Miley Cyrus,Pop
1020,11,1.0,See You Soon,1999,Coldplay,Rock
94,484,1.0,1983,2006,Flying Lotus,Electronic
509,771,1.0,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),2010,DJ Khaled,Rap
1553,516,1.0,Believe,2008,The All-American Rejects,Rock
99,37,1.494917871414299,Australia,2007,Jonas Brothers,Pop
453,756,1.0,Nothing Like You,2010,Frightened Rabbit,Rock
599,353,1.0,Good Arms vs Bad Arms,2008,Frightened Rabbit,Rock
1629,556,1.0,Obsessed,2009,Miley Cyrus,Pop
1524,754,1.0,The Bat's Mouth,2008,Bat For Lashes,Rock
242,538,1.494917871414299,Breathe . Something/Stellar STar,2008,Flying Lotus,Electronic
767,400,1.0,The Concubine,2009,Beirut,Folk
1967,775,1.0,Say You Will,2008,Kanye West,Rap
880,36,1.0,I Miss You,2007,Miley Cyrus,Pop
197,511,1.0,Roses,2005,Kanye West,Rap
1652,425,1.0,Year 3000,2006,Jonas Brothers,Pop
1215,407,1.0,Forks And Knives (La Fête),2007,Beirut,Folk
23,751,2.9796714856571973,Electric Feel,2007,MGMT,Rock
1559,47,1.494917871414299,I Stand Corrected (Album),2007,Vampire Weekend,Rock
155,733,1.7844262671283984,Some Kind Of Miracle,2003,Kelly Clarkson,Pop
113,499,1.494917871414299,A Little Bit Longer,2008,Jonas Brothers,Pop
2316,171,1.0,Down To Earth,2009,Justin Bieber,Pop
627,720,1.0,Trani,2003,Kings Of Leon,Rock
1442,585,1.0,Outta Sight,2007,Chromeo,Electronic
397,570,1.0,Boys Boys Boys,2008,Lady GaGa,Rap
42,190,1.0,Not Fair (Clean Radio Edit),2009,Lily Allen,Pop
36,538,1.0,Breathe . Something/Stellar STar,2008,Flying Lotus,Electronic
1592,498,1.0,Creep (Explicit),1993,Radiohead,Rock
153,237,1.0,Ballad Of A Comeback Kid,2003,The New Pornographers,Rock
2154,561,1.0,Miss Teen Wordpower,2003,The New Pornographers,Rock
1874,28,1.0,Hail To Whatever You Found In The Sunlight That Surrounds You,2002,Rilo Kiley,Rock
1449,59,1.7844262671283984,They Might Follow You,2007,Tiny Vipers,Pop
1260,629,1.0,Lots More Stairs,2005,Octopus Project,Rock
1855,42,1.0,California One / Youth and Beauty Brigade,2002,The Decemberists,Rock
1096,276,1.0,Three Peaches,1996,Neutral Milk Hotel,Rock
734,680,1.0,Ray Gun,2009,the bird and the bee,Pop
1635,166,1.494917871414299,Dusty,2003,Kings Of Leon,Rock
1075,192,1.7844262671283984,Far Away (Album Version),2006,Nickelback,Rock
745,427,1.494917871414299,I Kissed A Girl,2008,Katy Perry,Pop
270,562,1.7844262671283984,Alejandro,2009,Lady GaGa,Pop
1164,518,1.7844262671283984,Paradise City,1987,Guns N' Roses,Rock
1634,41,1.0,The Ballad of Michael Valentine,2004,The Killers,Rock
1053,90,1.494917871414299,Witch,2009,the bird and the bee,Rock
1750,427,1.7844262671283984,I Kissed A Girl,2008,Katy Perry,Pop
51,791,1.494917871414299,One,1988,Metallica,Rock
2132,75,1.0,We Belong Together,2005,Mariah Carey,Pop
2091,567,1.0,Harpoon Fever (Queequeg's Playhouse),2008,Man Man,Rock
597,247,1.0,Elephant Gun,2006,Beirut,Rock
1631,175,1.0,The Last Song,2003,The All-American Rejects,Rock
1688,633,1.494917871414299,My Boy Builds Coffins,2009,Florence + The Machine,Rock
529,41,1.0,The Ballad of Michael Valentine,2004,The Killers,Rock
1417,529,1.0,Cemeteries Of London,2008,Coldplay,Rock
1100,309,1.0,Poke,2008,Frightened Rabbit,Rock
2098,304,2.149163710298719,Peaceful Valley,2005,Ryan Adams & The Cardinals,Rock
1774,607,1.7844262671283984,Stuck In The Moment,2010,Justin Bieber,Pop
949,17,1.0,Rorol,2002,Octopus Project,Rock
2136,620,1.0,ZDRLT (Rewind),2008,Digitalism,Electronic
531,217,1.494917871414299,One More Sad Song,2001,The All-American Rejects,Rock
506,228,2.149163710298719,Love Me,2009,Justin Bieber,Pop
1944,8,1.494917871414299,Go Places,2007,The New Pornographers,Rock
2040,596,1.0,Shiver,2000,Coldplay,Rock
2115,266,1.7844262671283984,Velvet Snow,2004,Kings Of Leon,Rock
574,600,1.0,Revelry,2008,Kings Of Leon,Rock
1963,54,3.022958408876664,You're The One,1990,Dwight Yoakam,Country
722,121,1.0,Runaway Love,2010,Justin Bieber,Pop
2064,743,1.0,The Stars of Track and Field,1996,Belle and Sebastian,Rock
1944,210,1.0,Never Ending Math Equation,1998,Modest Mouse,Rock
2249,583,1.0,Sing Me Spanish Techno,2005,The New Pornographers,Rock
613,579,1.0,Sleepyhead,2008,Passion Pit,Rock
1684,363,1.0,Hovering,2008,Miley Cyrus,Pop
1304,459,1.0,Man/Bag Of Sand,2010,Frightened Rabbit,Rock
8,299,1.494917871414299,Gardenhead / Leave Me Alone,1992,Neutral Milk Hotel,Rock
1010,487,1.0,Burnin' Up,2008,Jonas Brothers,Pop
2018,258,1.494917871414299,If It's Lovin' That You Want,2005,Rihanna,RnB
1608,101,1.0,The Invisible Man,1985,Michael Cretu,Electronic
231,470,1.494917871414299,Cape Cod Kwassa Kwassa (Album),2007,Vampire Weekend,Rock
804,430,1.7844262671283984,Thrills,2005,LCD Soundsystem,Electronic
462,587,1.494917871414299,Politik,2002,Coldplay,Rock
762,770,1.494917871414299,Hero,2001,Enrique Iglesias,Pop
505,680,1.0,Ray Gun,2009,the bird and the bee,Pop
1508,418,1.0,Happy Endings,2003,The All-American Rejects,Rock
1572,630,1.494917871414299,Marry Me,2009,Train,Pop
2321,335,1.0,The Real Slim Shady,2000,Eminem,Pop
2181,752,1.494917871414299,The Fear,2008,Lily Allen,Pop
2416,301,1.0,Manhattan,2008,Kings Of Leon,Rock
2310,459,1.494917871414299,Man/Bag Of Sand,2010,Frightened Rabbit,Rock
917,461,1.0,Lost!,2008,Coldplay,Rock
1514,645,1.0,Drive,1999,Incubus,Rock
1191,770,1.7844262671283984,Hero,2001,Enrique Iglesias,Pop
1013,493,1.0,Only Superstition,1999,Coldplay,Rock
115,540,2.149163710298719,If It Means A Lot To You,2009,A Day To Remember,Rock
44,786,1.0,Standing O,2009,Mariah Carey,RnB
3,600,1.9898357428285989,Revelry,2008,Kings Of Leon,Rock
646,521,1.7844262671283984,I Want I Want,2007,Digitalism,Electronic
941,204,1.0,U Smile,2010,Justin Bieber,Pop
549,318,1.494917871414299,Up,2010,Justin Bieber,Pop
1058,569,1.494917871414299,Opening Up (Ce Soir On Danse),2007,Chromeo,Electronic
1319,468,1.494917871414299,Proof,2005,Coldplay,Rock
411,740,1.0,Real World,2008,The All-American Rejects,Rock
1594,162,1.0,The Ballad Of Butter Beans,2008,Man Man,Rock
1630,343,1.0,On Repeat,2005,LCD Soundsystem,Electronic
1251,356,1.494917871414299,The Fake Headlines,2000,The New Pornographers,Rock
1834,122,1.9898357428285989,Neon Knights,2006,MSTRKRFT,Rock
661,157,1.0,Big Green Tractor,2009,Jason Aldean,Country
2031,509,1.0,A Crippling Blow,2008,The Killers,Rock
52,439,1.9898357428285989,Secrets,2009,OneRepublic,Rock
1204,175,1.0,The Last Song,2003,The All-American Rejects,Rock
94,538,1.0,Breathe . Something/Stellar STar,2008,Flying Lotus,Electronic
202,335,1.0,The Real Slim Shady,2000,Eminem,Pop
1342,70,1.7844262671283984,Don't Leave Me,2001,The All-American Rejects,Rock
871,396,1.0,In My Place,2001,Coldplay,Rock
1332,458,1.0,We Are The Sleepyheads,2006,Belle & Sebastian,Rock
2335,800,1.0,Yes_ I Would,2010,Frightened Rabbit,Rock
2418,147,1.494917871414299,Crawling (Album Version),2000,Linkin Park,Rock
760,603,1.7844262671283984,Birthday,2008,the bird and the bee,Pop
2296,171,1.494917871414299,Down To Earth,2009,Justin Bieber,Pop
2393,298,1.0,All Of The Champs That Ever Lived,2005,Octopus Project,Rock
1178,644,1.0,Challengers,2007,The New Pornographers,Rock
820,469,1.494917871414299,Brandenburg,2006,Beirut,Rock
1999,663,1.0,Tighten Up,2010,The Black Keys,Electronic
2066,260,1.494917871414299,Te Amo,2009,Rihanna,Pop
1367,59,2.149163710298719,They Might Follow You,2007,Tiny Vipers,Pop
925,513,1.9898357428285989,Sayonara-Nostalgia,2005,Base Ball Bear,Rock
226,213,1.0,Camaro,2007,Kings Of Leon,Rock
93,701,2.644081581713018,16 Candles,1988,The Crests,Rock
662,736,1.0,I Gotta Feeling,2009,Black Eyed Peas,Pop
18,803,1.7844262671283984,Romeo And Juliet,2007,The Killers,Rock
1910,100,1.0,Learn To Fly,1999,Foo Fighters,Rock
1235,384,1.0,Red Socks Pugie,2008,Foals,Rock
611,357,1.0,Back To Me,2008,The All-American Rejects,Rock
2147,72,1.0,Teeth,2009,Lady GaGa,Pop
1323,769,1.0,ROCKSTAR 101,2009,Rihanna / Slash,Rock
935,418,1.7844262671283984,Happy Endings,2003,The All-American Rejects,Rock
1109,548,1.494917871414299,Stagger,2006,Skream,Electronic
991,396,1.0,In My Place,2001,Coldplay,Rock
480,603,1.0,Birthday,2008,the bird and the bee,Pop
1932,628,1.9898357428285989,Home,2009,Edward Sharpe & The Magnetic Zeros,Rock
1290,34,1.0,Nah!,2002,Shania Twain,Country
621,338,1.494917871414299,Oh!,2007,Boys Noize,Electronic
1845,7,2.149163710298719,Halo,2008,Beyonce,Pop
873,713,1.0,Last Day Of Magic,2008,The Kills,Rock
1734,562,1.0,Alejandro,2009,Lady GaGa,Pop
554,75,1.7844262671283984,We Belong Together,2005,Mariah Carey,Pop
1298,179,1.0,Brothers & Sisters,1999,Coldplay,Rock
1678,537,1.494917871414299,Better To Reign In Hell,2003,Cradle Of Filth,Rock
2250,698,1.0,Use Somebody,2008,Kings Of Leon,Rock
2412,761,1.0,Cosmic Love,2009,Florence + The Machine,Rock
770,555,1.0,Promise Me,1990,Beverley Craven,Pop
1350,732,1.494917871414299,Use It,2005,The New Pornographers,Rock
2084,119,1.0,Grow Up and Blow Away,2001,Metric,Rock
2095,25,1.0,Seven Nation Army,2003,The White Stripes,Rock
603,90,1.0,Witch,2009,the bird and the bee,Rock
275,234,1.7844262671283984,Damn Girl,2006,Justin Timberlake;Justin Timberlake featuring will.i.am,Rock
689,557,1.494917871414299,Diamond Dave,2009,the bird and the bee,Pop
2223,572,1.0,Know You Now,2003,Amy Winehouse,RnB
927,594,1.0,My Love,2009,the bird and the bee,Rock
55,466,1.494917871414299,Caring Is Creepy,2001,The Shins,Rock
2054,109,1.0,Sour Cherry,2008,The Kills,Rock
2102,214,1.494917871414299,Big Big Love (Fig .2),2008,Foals,Rock
584,701,1.494917871414299,16 Candles,1988,The Crests,Rock
674,578,1.0,Celebration,2005,Kanye West,Rap
2250,736,1.0,I Gotta Feeling,2009,Black Eyed Peas,Pop
39,388,1.0,The Akara,2009,Beirut,Rock
2088,507,1.0,Yellow,2000,Coldplay,Rock
1932,702,1.0,Everything Will Be Alright,2004,The Killers,Rock
1418,309,1.0,Poke,2008,Frightened Rabbit,Rock
